artwork_id,collection_id
575,24
1196,18
1327,24
1377,5
2659,24
3586,24
3942,24
4432,24
4979,10
5034,10
5141,11
5358,10
5578,24
6301,24
6802,24
6926,24
7684,24
8783,18
18404,24
9356,24
9513,7
9513,4
9513,9
9638,24
9722,5
82299,24
9874,18
10015,24
10480,7
10480,4
11457,5
12531,10
13056,5
13532,18
14310,24
82510,24
14764,18
14933,24
15224,7
15224,4
15225,24
16254,24
16554,24
16631,24
16642,7
16642,4
16838,10
17872,24
18131,11
18329,24
39344,24
25620,24
11321,24
19054,5
19302,24
91116,12
91116,8
91116,13
19459,24
19489,18
19489,4
19489,7
90953,12
90953,8
90953,13
20026,24
90565,8
90565,7
90217,8
90217,12
90217,13
20681,5
20974,24
21055,24
82285,24
22590,24
22883,10
23880,24
25434,24
26440,18
26514,5
28720,24
29078,5
29546,24
82319,24
30809,24
83861,12
83861,8
83861,13
31663,24
32058,24
32087,5
32321,18
32662,18
32731,24
83666,8
83666,12
83666,13
83665,8
83665,12
83665,13
83664,8
83664,12
83664,13
83663,8
83663,12
83663,13
83659,8
83659,12
83659,13
83658,8
83658,12
83658,13
83657,8
83657,12
83657,13
83654,8
83654,12
83654,13
83655,8
83655,12
83655,13
83653,8
83653,12
83653,13
83652,8
83652,12
83652,13
83649,8
83649,12
83649,13
83650,8
83650,12
83650,13
83646,8
83646,12
83646,13
83647,8
83647,12
83647,13
83648,8
83648,12
83648,13
83644,8
83644,12
83644,13
83645,8
83645,12
83645,13
83643,8
83643,12
83643,13
83641,8
83641,12
83641,13
83642,8
83642,12
83642,13
83638,8
83638,12
83638,13
83639,8
83639,12
83639,13
83640,8
83640,12
83640,13
83636,8
83636,12
83636,13
83637,8
83637,12
83637,13
83635,8
83635,12
83635,13
83633,8
83633,12
83633,13
83634,8
83634,12
83634,13
83632,8
83632,12
83632,13
34677,7
34677,4
83630,8
83630,12
83630,13
83631,8
83631,12
83631,13
83629,8
83629,12
83629,13
34751,24
83627,8
83627,12
83627,13
83628,8
83628,12
83628,13
83626,8
83626,12
83626,13
83623,8
83623,12
83623,13
83624,8
83624,12
83624,13
