artwork_id,artwork_type,artwork_title,artwork_medium,artwork_url,artwork_description
575,oil paintings (visual works); panel paintings,The Important Response,oil on panel,https://art.thewalters.org/detail/575,"<p>A lady in early 17th-century attire is seated at a table pondering a letter she is writing. In the background is a high Japanese screen. The artist has lavished great care in the rendering of the contrasting surfaces of his subject's satin dress and of the rug covering the table. In its intimacy and in its oriental note, this work approximates the painting of Alfred Stevens.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/575"" rel=""external alternate main"">oil paintings (visual works); panel paintings</a></cite>, visit art.thewalters.org.</p>"
1196,plaques,Oval Plaque with the Annunciation,painted enamel and gilding on copper,https://art.thewalters.org/detail/1196,"<p>Monogrammed ""S. C."" in gold letters near the top of the left edge, this devotional plaque is by Suzanne de Court, the only woman enamel painter to sign her work (sometimes in full), but no dated pieces are known. Based on the same source as the Annunciation plaque by Jean Limosin (Walters 44.346), this piece is notable for the brilliance of the translucent enamel colors, especially the garnet red, and the delicately applied gilding, although the overall emphasis on surface pattern, dazzling though it is, nearly flattens out the space.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/1196"" rel=""external alternate main"">plaques</a></cite>, visit art.thewalters.org.</p>"
1327,boxes (containers),Oval Box with Monogram of Nicholas II,"nephrite, gold (56 zolotnik), diamonds, enamel",https://art.thewalters.org/detail/1327,"<p>This nephrite box is decorated with the monogram of Nicholas II in diamonds. The 300-year-long reign of the Romanov dynasty ended in 1917 in the revolution that cost Nicholas II his life. Later, in the 1920s, Henry Walters, founder of the Walters Art Museum, was able to buy a select group of objects with connections to the Russian royal family, including this piece. Jeweled boxes were often given as diplomatic gifts, and hardstone carving, in nephrite, malachite, or jasper, for example, was a Russian specialty.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/1327"" rel=""external alternate main"">boxes (containers)</a></cite>, visit art.thewalters.org.</p>"
1377,portraits; oil paintings,Portrait of Marquess Massimiliano Stampa,oil on canvas,https://art.thewalters.org/detail/1377,"<p>The boy can be identified as the nine-year-old Massimiliano Stampa, third marquess of the small northern Italian city of Soncin, on the basis of a contemporary annotation on the back of the canvas. This is Sophonisba Anguissola's first major commission. The family commissioned it to commemorate the boy's inheritance of his title in 1557, at his father's death. Anguissola was a sympathetic observer of children: here she leavens the stern, very ""adult,"" impression of the full-length portrait in the traditional black clothing of the Italian courts during the 16th century with the appeal of child's hesitant expression and the inclusion of the boy's sleeping pet. 

</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/1377"" rel=""external alternate main"">portraits; oil paintings</a></cite>, visit art.thewalters.org.</p>"
2659,plates,Plate Showing Imps on a Bridge and Tree House,lusterware,https://art.thewalters.org/detail/2659,"<p>The Wedgwood factory gave Susannah Margaretta (Daisy) Makeig-Jones (1881-1945) her own design studio in 1915. Drawing on her early love of fairy stories, she introduced an imaginative line of decorative wares that remained popular throughout the 1920s. This particular design was introduced in 1924. Engravers transferred Makeig-Jones's designs to copper plates for printing onto paper sheets known as pottery tissues. While the ink was still wet on the pottery tissues, the images were rubbed onto the ceramic surfaces. Women painters then applied the colors to these designs on the ceramics, a process that necessitated several firings, and then added the colorful glazes. The gold details were added last.
</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/2659"" rel=""external alternate main"">plates</a></cite>, visit art.thewalters.org.</p>"
3586,vases; covers,Covered Vase with Women and Children at Worship,jasperware,https://art.thewalters.org/detail/3586,"<p>This vase, a pair with WAM 48.861, shows scenes of sacrifice to Pomona and Flora (the goddesses of fruits and flowers) probably designed by Lady Elizabeth Templeton and modelled by William Hackwood. Hackwood was first taken on at the Wedgwood Etruria factory in 1769, and worked for the firm for 63 years. He was mainly employed in adapting, re-modelling and finishing busts and bas reliefs, such as the ones that appear on these vases. Jasperware, which was inspired by Roman cameo glass, was a technique invented by Wedgwood which was perfected in 1775.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/3586"" rel=""external alternate main"">vases; covers</a></cite>, visit art.thewalters.org.</p>"
3942,oil paintings (visual works); panel paintings,The Health of the King,oil on panel (mahogany),https://art.thewalters.org/detail/3942,"<p>Five gentlemen, grouped around a table, toast the King. One page is replenishing a wine glass while another stands in attendance. Set in a Renaissance chimney piece in the right background is a marble bust of Henri IV of France. The wall at the left is covered with crimson fabric decorated with fleurs-de-lys and emblazoned with the arms of France and Navarre. Discernible on the lace-covered table is a Chinese pheasant that is being served in its skin. A large copper wine cooler dominates the right foreground.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/3942"" rel=""external alternate main"">oil paintings (visual works); panel paintings</a></cite>, visit art.thewalters.org.</p>"
4432,eggs; vessels,Gatchina Palace Egg,"gold, ""en plein"" enamel, silver-gilding, portrait diamonds, rock crystal, and seed pearls",https://art.thewalters.org/detail/4432,"<p>Continuing a practice initiated by his father, Alexander III, Tsar Nicholas II presented this egg to his mother, the dowager empress Marie Fedorovna, on Easter 1901. The egg opens to reveal as a surprise a miniature gold replica of the palace at Gatchina, located 30 miles southwest of St. Petersburg. Built for Count Grigorii Orlov, the palace was acquired by Tsar Paul I and served as the winter residence for Alexander III and Marie Fedorovna.

Fabergé's revival of 18th-century enameling techniques, including the application of multiple layers of translucent enamel over ""guilloché,"" or mechanically engraved gold, is demonstrated in the shell of the egg. So meticulously did Fabergé's workmaster, Mikhail Perkhin, execute the palace that one can discern such details as cannons, a flag, a statue of Paul I (1754-1801), and elements of the landscape, including parterres and trees.

</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/4432"" rel=""external alternate main"">eggs; vessels</a></cite>, visit art.thewalters.org.</p>"
4979,fuchi; sword components; handles,Fuchi with Three Yamabushi,"silver alloy (?), gold, silver",https://art.thewalters.org/detail/4979,"<p>Two yamabushi monks are depicted on the front of the fuchi, and a third is on the reverse. They wear the distinctive yamabushi clothing, including a small hat and a sash with pom-poms around their necks. They carry wicker packs and walking sticks. Yamabushi lived in the mountain where they practiced a religious tradition that mixed elements of Shintoism and Buddhism. This is part of a set with Walters 51.1059.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/4979"" rel=""external alternate main"">fuchi; sword components; handles</a></cite>, visit art.thewalters.org.</p>"
5034,kozuka; sword components; handles,Kozuka of a Flintlock Pistol,"shibuichi, gold, silver, copper",https://art.thewalters.org/detail/5034,"<p>On the front of the kozuka is a relief carving of a pistol, made of gold, silver and copper.  The subject matter is an interesting pairing with the traditional sword on which the kozuka would have been mounted. On the reverse is a landscape scene. The edge of a torii gate is visible on the right, with a path extending towards the left into trees. The artist's signature is also on the reverse.</p><p>For the latest information about this object, <cite><a href=""https://art.thewalters.org/detail/5034"" rel=""external alternate main"">kozuka; sword components; handles</a></cite>, visit art.thewalters.org.</p>"
