creator_id,creator_name,url,creator_gender,creato_nationality
7870,Katherine Adams,https://art.thewalters.org/browse/creator/katherine-adams,female, Italian
8127,Mariia V. Adler,https://art.thewalters.org/browse/creator/mariia-v-adler,female, Russian
5485,Sofonisba Anguissola,https://art.thewalters.org/browse/creator/sofonisba-anguissola,female, Italian
5934,José Jiménez Aranda,https://art.thewalters.org/browse/creator/josc-jimcnez-aranda,male, Spanish
6727,Gerardina Jacoba van de Sande Bakhuyzen,https://art.thewalters.org/browse/creator/gerardina-jacoba-van-de-sande-bakhuysen,female, Dutch
3073,Hester Bateman,https://art.thewalters.org/browse/creator/hester-bateman,female, English
3091,Simon Bening,https://art.thewalters.org/browse/creator/simon-bening,male, Flemish
2889,Pedro Gonzales Berruguete,https://art.thewalters.org/browse/creator/pedro-gonzales-berruguete,male, Spanish
7564,Rosa Bonheur,https://art.thewalters.org/browse/creator/rosa-bonheur,female, French
4230,Józef Brandt,https://art.thewalters.org/browse/creator/jzef-brandt,male, Polish
16327,Marie Gabrielle Capet,https://art.thewalters.org/browse/creator/marie-gabrielle-capet,female, French
3609,Mary Cassatt,https://art.thewalters.org/browse/creator/mary-cassatt,female, American
34308,"Catherine II, Empress of Russia",https://art.thewalters.org/browse/creator/catherine-ii-empress-of-russia,female, Russian
7288,Saint John Climacus,https://art.thewalters.org/browse/creator/saint-john-climacus,male, Syrian
3660,Jan Claudius de Cock,https://art.thewalters.org/browse/creator/jan-claudius-de-cock,male, Flemish
4024,William Collins,https://art.thewalters.org/browse/creator/william-collins,male, British
6990,Nicholas Dixon,https://art.thewalters.org/browse/creator/nicholas-dixon,male, English
3364,Nicolas Charles Dutertre,https://art.thewalters.org/browse/creator/nicolas-charles-dutertre,male, French
16195,"Robert Estienne, 1503 (?)-1559",https://art.thewalters.org/browse/creator/robert-estienne-1503--1559,male, French
4493,Peter Carl Fabergé,https://art.thewalters.org/browse/creator/peter-carl-fabergc,male, 1846-1920
