exhibition_id,exhibition_name,exhibition_begin_year,
3628,Léon Bonvin (1834-1866),2022,
3696,Sargent, Whistler, and Venetian Glass: American Artists and the Magic of Murano,2021,
3735,Hugo van der Goes,2021,
3786,Quiet Beauty: The Watercolors of Léon Bonvin,2023,
3581,Caravans of Gold, Fragments in Time: Art, Culture, and Medieval Trans-Saharan Exchange,2019,
3665,Medieval Bologna: Art for a University City,2021,
3668,Persia: Ancient Iran and the Classical World,2022,
3684,By Her Hand: Artemisia Gentileschi and Women Artists in Italy,2022,
3693,Betty Cooke: The Circle and the Line,2021,
3702,Majolica Mania,2021,
3143,Michael C,2016,
3607,Boldini and his Circle,2018,
3673,Excursions through the Collection: Portraiture, Adornment, and the Natural World,2019,
3424,Where the Truth Lies: The Art of Qiu Ying,2020,
3561,Claude Monet: The Truth of Nature,2019,
3608,A Tale of Two Women Painters: Sofonisba Anguissola and Lavinia Fontana,2019,
3612,Visions of the End,2020,
3620,Greco,2019,
3629,Van Eyck,2020,
3640,Millet and Modern Art: Van Gogh to  Dal?,2019,
3651,Chinese Snuff Bottles 2019,2018,
3652,Inventing Acadia Landscape Painting in Louisiana,2019,
3663,The Saint Francis Missal,2020,
3465,The American Pre-Raphaelites: Myriad Facts, Marvelous Delicacy,2019,
3488,Animal-Shaped Vessels from the Ancient World: Feasting with Gods, Heroes, and Kings,2018,
3512,Delacroix (1798-1863),2018,
3514,Japanese Woodblock Prints: The Art of Collaboration,2018,
3535,Lorenzo Lotto,2018,
3556,Meiji Restoration for Satsuma Ware,2018,
3563,Naissance de la Sculpture Gothique, Saint-Denis, Paris, Chartres (1135-1150),2018,
3570,Moroni: The Riches of Renaissance Portraiture (WT),2019,
3580,The Jeweled Isle: The Art of Sri Lanka,2018,
3586,The Book of Beasts: The Bestiary in the Medieval World ,2019,
3594,Underworld: Imagining the Afterlife,2018,
3603,Transformation: Art of the Ancient Americas,2018,
3604,Animal Tales,2019,
3605,The Return of the Buddha,2018,
3606,Forgotten Realms,2019,
3611,Power of Intention,2019,
3324,Michelangelo Divine Draftsman and Designer ,2017,
3423,Fabergé and the Russian Crafts Tradition: An Empire's Legacy ,2017,
3425,California Mexicana: Missions to Murals,2017,
3434,Jean-Fran?ois Millet,2017,
3436,Secrets of the Lacquer Buddha,2017,
3445,Mariano Fortuny (1838 – 1874),2017,
3520,The Paston Treasure: Microcosm of the Known World,2018,
3522,Sharing Images: Renaissance Prints Into Maiolica and Bronze,2018,
3524,Kwab,2018,
3525,High Society,2018,
